"originalName","englishName","fileName","sourceFile"
"Bug","Bug","bug.gif","Bug.gif"
"PNGTuber_加载中","PNGTuber Loading","pngtuber_loading.gif","PNGTuber_加载中.gif"
"PNGTuber_说教","PNGTuber Lecture","pngtuber_lecture.gif","PNGTuber_说教.gif"
"TrashTuber_说教","TrashTuber Lecture","trashtuber_lecture.gif","TrashTuber_说教.gif"
"主意","Idea","idea.gif","主意.gif"
"催眠","Hypnosis","hypnosis.gif","催眠.gif"
"像素墨镜反光","Pixel Sunglasses Glare","pixel_sunglasses_glare.gif","像素墨镜反光.gif"
"冒泡_1","Bubble 1","bubble_1.gif","冒泡_1.gif"
"冒泡_2","Bubble 2","bubble_2.gif","冒泡_2.gif"
"刀_1","Knife 1","knife_1.gif","刀_1.gif"
"刀_2","Knife 2","knife_2.gif","刀_2.gif"
"到达(拿勺子)","Arrive With Spoon","arrive_with_spoon.gif","到达(拿勺子).gif"
"到达(拿筷子)","Arrive With Chopsticks","arrive_with_chopsticks.gif","到达(拿筷子).gif"
"到达","Arrive","arrive.gif","到达.gif"
"加油","Cheer Up","cheer_up.gif","加油.gif"
"反向点赞","Thumbs Down","thumbs_down.gif","反向点赞.gif"
"叹号","Exclamation","exclamation.gif","叹号.gif"
"吃(爆米花)","Eat Popcorn","eat_popcorn.gif","吃(爆米花).gif"
"吃(甜甜圈)","Eat Donut","eat_donut.gif","吃(甜甜圈).gif"
"吃(西瓜)","Eat Watermelon","eat_watermelon.gif","吃(西瓜).gif"
"呆_1","Blank 1","blank_1.gif","呆_1.gif"
"呆_2","Blank 2","blank_2.gif","呆_2.gif"
"呆_3","Blank 3","blank_3.gif","呆_3.gif"
"哭_1","Cry 1","cry_1.gif","哭_1.gif"
"哭_2","Cry 2","cry_2.gif","哭_2.gif"
"哭_3","Cry 3","cry_3.gif","哭_3.gif"
"唱歌","Sing","sing.gif","唱歌.gif"
"喝(饮料杯)","Drink Cup","drink_cup.gif","喝(饮料杯).gif"
"喷剂","Spray","spray.gif","喷剂.gif"
"坐牢_1","Jail 1","jail_1.gif","坐牢_1.gif"
"坐牢_2","Jail 2","jail_2.gif","坐牢_2.gif"
"垃圾桶","Trash Bin","trash_bin.gif","垃圾桶.gif"
"墨镜反光","Sunglasses Glare","sunglasses_glare.gif","墨镜反光.gif"
"复活节","Easter","easter.gif","复活节.gif"
"头晕","Dizzy","dizzy.gif","头晕.gif"
"害羞_1","Shy 1","shy_1.gif","害羞_1.gif"
"害羞_2","Shy 2","shy_2.gif","害羞_2.gif"
"工作(小睡)","Work Nap","work_nap.gif","工作(小睡).gif"
"工作(普通)","Work Normal","work_normal.gif","工作(普通).gif"
"工作(生气)","Work Angry","work_angry.gif","工作(生气).gif"
"工作(疲倦)","Work Tired","work_tired.gif","工作(疲倦).gif"
"带薪拉屎(困难模式)","Paid Bathroom Break Hard","paid_bathroom_break_hard.gif","带薪拉屎(困难模式).gif"
"带薪拉屎(简单模式)","Paid Bathroom Break Easy","paid_bathroom_break_easy.gif","带薪拉屎(简单模式).gif"
"干杯","Cheers","cheers.gif","干杯.gif"
"庆祝","Celebrate","celebrate.gif","庆祝.gif"
"得分(0分)","Score Zero","score_zero.gif","得分(0分).gif"
"得分(10分)","Score Ten","score_ten.gif","得分(10分).gif"
"思考（自信地）","Think Confidently","think_confidently.gif","思考（自信地）.gif"
"思考（认真地）","Think Seriously","think_seriously.gif","思考（认真地）.gif"
"情书","Love Letter","love_letter.gif","情书.gif"
"惊吓","Scared","scared.gif","惊吓.gif"
"打字(恼怒)","Typing Annoyed","typing_annoyed.gif","打字(恼怒).gif"
"打字(普通)","Typing Normal","typing_normal.gif","打字(普通).gif"
"打字(生气)","Typing Angry","typing_angry.gif","打字(生气).gif"
"打招呼_1","Wave 1","wave_1.gif","打招呼_1.gif"
"打招呼_2","Wave 2","wave_2.gif","打招呼_2.gif"
"打游戏","Gaming","gaming.gif","打游戏.gif"
"扩音器","Megaphone","megaphone.gif","扩音器.gif"
"抓拍(手机)","Snapshot Phone","snapshot_phone.gif","抓拍(手机).gif"
"抓拍(摄像机)","Snapshot Camera","snapshot_camera.gif","抓拍(摄像机).gif"
"拍蝇","Fly Swat","fly_swat.gif","拍蝇.gif"
"摇头","Shake Head","shake_head.gif","摇头.gif"
"摇铃","Ring Bell","ring_bell.gif","摇铃.gif"
"摘掉墨镜","Remove Sunglasses","remove_sunglasses.gif","摘掉墨镜.gif"
"摸头","Head Pat","head_pat.gif","摸头.gif"
"撬棍_1","Crowbar 1","crowbar_1.gif","撬棍_1.gif"
"撬棍_2","Crowbar 2","crowbar_2.gif","撬棍_2.gif"
"撬棍_3","Crowbar 3","crowbar_3.gif","撬棍_3.gif"
"敲头","Bonk","bonk.gif","敲头.gif"
"期待_1","Expectant 1","expectant_1.gif","期待_1.gif"
"期待_2","Expectant 2","expectant_2.gif","期待_2.gif"
"枪","Gun","gun.gif","枪.gif"
"死亡","Death","death.gif","死亡.gif"
"汗","Sweat","sweat.gif","汗.gif"
"点头","Nod","nod.gif","点头.gif"
"点赞","Like","like.gif","点赞.gif"
"爱心_1","Heart 1","heart_1.gif","爱心_1.gif"
"爱心_2","Heart 2","heart_2.gif","爱心_2.gif"
"爱心_3","Heart 3","heart_3.gif","爱心_3.gif"
"玫瑰","Rose","rose.gif","玫瑰.gif"
"生气","Angry","angry.gif","生气.gif"
"画板","Drawing Board","drawing_board.gif","画板.gif"
"睡觉(准备阶段1)","Sleep Prep 1","sleep_prep_1.gif","睡觉(准备阶段1).gif"
"睡觉(准备阶段2)","Sleep Prep 2","sleep_prep_2.gif","睡觉(准备阶段2).gif"
"睡觉(普通)","Sleep Normal","sleep_normal.gif","睡觉(普通).gif"
"笑(指)","Laugh Pointing","laugh_pointing.gif","笑(指).gif"
"笑","Laugh","laugh.gif","笑.gif"
"紧张_1","Nervous 1","nervous_1.gif","紧张_1.gif"
"紧张_2","Nervous 2","nervous_2.gif","紧张_2.gif"
"红包_1","Red Packet 1","red_packet_1.gif","红包_1.gif"
"红包_2","Red Packet 2","red_packet_2.gif","红包_2.gif"
"自我安慰","Self Comfort","self_comfort.gif","自我安慰.gif"
"舔舔","Lick","lick.gif","舔舔.gif"
"荧光棒_1","Glow Stick 1","glow_stick_1.gif","荧光棒_1.gif"
"荧光棒_2","Glow Stick 2","glow_stick_2.gif","荧光棒_2.gif"
"蛋糕","Cake","cake.gif","蛋糕.gif"
"要米","Begging For Rice","begging_for_rice.gif","要米.gif"
"记录_1","Record 1","record_1.gif","记录_1.gif"
"记录_2","Record 2","record_2.gif","记录_2.gif"
"跳舞(Helltaker)","Dance Helltaker","dance_helltaker.gif","跳舞(Helltaker).gif"
"跳舞(低皮质醇)","Dance Low Cortisol","dance_low_cortisol.gif","跳舞(低皮质醇).gif"
"跳舞_(Caramelldansen)","Dance Caramelldansen","dance_caramelldansen.gif","跳舞_(Caramelldansen).gif"
"跳舞_1","Dance 1","dance_1.gif","跳舞_1.gif"
"通知_提示_Bits","Alert Bits","alert_bits.gif","通知_提示_Bits.gif"
"钱","Money","money.gif","钱.gif"
"问号","Question","question.gif","问号.gif"
